mp-1016837,-5.012297874
mp-10173,-2.380718665
mp-10895,-8.106002735
mp-11233,-15.2702904025
mp-11260,-22.61240855
mp-11350,-8.2224858
mp-1152,-8.1150613775
mp-13920,-2.907389949999998
mp-15987,-6.829944659999999
mp-20541,-13.240465776666667
mp-2187,-19.875973365
mp-22700,-15.130187641428572
mp-23214,-9.09387969
mp-2554,-8.915361515
mp-27409,-3.600229622
mp-35208,-7.979555413333333
mp-3648,-2.617822722499998
mp-37741,-5.986407100714284
mp-5305,-11.42814123
mp-569344,-7.503377669999999
mp-569779,-21.154497356666667
mp-760396,-9.245748526666667
mp-864790,-6.664350644999999
mp-865925,-33.1491392475
mp-865964,-2.965497835
mp-867160,-23.6629769625
mp-867213,-6.991031397499999
mp-983583,-3.9267523124999992
mp-984876,-6.09909176
mp-9987,-9.46007977125
